L1CAM
TCF3
EIF4G1
KDM4A
OBSL1
SPINT1
COBL
TCF4
ARSB
HAP1
RARA
PRPF19
TRIM32
SYT17
TIAM1
APOE
NEDD4L
LIN28A
SMARCD3
TMEM30A
PLXNB2
TMEM106B
LLPH
MEF2C
ADNP
HIF1A
MAPK6
CBFA2T2
RAB21
NTRK2
NME2
DNMT3B
SEMA6A
CLCF1
PALM
SYT4
DAB2IP
ANAPC2
NKX6-2
GSK3B
LTK
CRABP2
SPAG9
MAP1B
EPHB2
EPHA3
KALRN
ZNF335
RND2
HEYL
VEGFC
NUMB
IL1RAP
VEGFA
PSEN1
LPAR3
ZEB1
GLI3
GLI2
TSPO
PPARG
ARF1
SEMA3A
ABL1
ABL2
DAB1
KIT
SRGAP2C
BRINP3
NEFL
TRPC5
NME1
RELA
HES1
IL6
CAPRIN1
CX3CR1
MAPT
BMP6
BMP5
RGS14
SERPINE2
NTRK3
MAG
XRCC2
METRN
RARB
VWC2L
NKX2-5
IL1RAPL1
CRX
CPEB3
PLXNB1
CLIP1
CPNE6
CUL7
BCL2
ARHGDIA
FES
NEUROG3
IMPACT
SOX10
DMRTA2
RAB11A
ITPKA
FIG4
SCN1B
ATOH1
TENM3
PLK5
MOB2
BDNF
MEGF8
ATF1
ADRA2C
HMG20B
SS18L1
PTK7
FBXO38
CSF1
DDX56
TP73
KATNB1
TRIM67
BHLHB9
NAP1L2
RNF112
HGF
WNT2
SHOX2
PTN
CYB5D2
SHH
FYN
SF3A2
SERPINF1
ASPM
STK25
ISLR2
FEZ1
SEZ6
STK11
WNT5A
PTK6
BMPR2
TIMP2
BEND6
NTRK1
FAM134C
SYT14P1
FEZF2
FOXO6
ETV5
NDNF
PLPPR5
FZD3
STMN2
NKX2-2
PTK2B
SHTN1
SOX11
DPYSL3
BRAF
LIF
GFAP
ATP8A2
IL6ST
DCT
SOX8
IL2
NRP1
CXCR4
OPRM1
PRMT5
NKX6-1
IRX3
NOTCH1
ITGA3
DVL1
FKBP1B
SHANK3
WNT3A
WNT3
SEMA5A
NEUROD1
HDAC1
OLIG2
SRRT
PACSIN1
GDF6
HOXD3
DICER1
MMD2
SLIT2
PHOX2B
IQGAP1
CNTF
PPP2R5B
PRKD1
CRTC1
BCL6
CDH4
MARK2
XRCC5
TENM4
BIN1
GDF7
SRF
IST1
ADCYAP1
VWC2
FBXW8
EPO
IFNG
UBE2V2
SYT1
CNR1
UFL1
CSNK1D
SHANK1
GDPD5
NSMF
FAM150A
NCOA1
NEUROD2
NEURL1
CDKL5
SETX
RAPGEF1
CPNE5
LPAR1
ROBO2
LIMK1
PAFAH1B1
GDF5
SMO
TRPC6
CPNE1
EFNA5
MMD
CXCL12
APBB1
SMURF1
PAX6
AMIGO1
NBL1
VAMP7
LTA
RHEB
CCR2
ANKRD1
FAM150B
RUFY3
EEF2K
DKK1
SEMA4D
CPNE9
PRKCH
NCKIPSD
GOLGA4
ILK
CAPRIN2
GPRC5B
RRN3
TGIF2
NDEL1
ZFYVE27
FN1
PAK3
NTN1
ZMYND8
TWF2
NDRG4
MAN2A1
STAR
CSNK1E
PLXNB3
PPP1R9A
KIDINS220
SPEN
ECT2
SKIL
VLDLR
FEZF1
CNTN1
MUL1
ANKRD27
MAGI2
PLAG1
RHOA
GSX2
PARK2
CAMK1D
TCF12
LIG4
KDM1A
FMR1
OPA1
BRINP2
ITSN2
PTPRD
FOXA1
RELN
CAMK2B
SNW1
NUMBL
ROBO1
OTP
AVIL
SEMA7A
NPTN
NFE2L2
TRPV2
RAP1A
MTOR
BAIAP2
SYT3
CUX1
UNC13A
BMP4
BMP2
RASAL1
TLE6
RET
LYN
RIMS2
EPHA4
MACF1
SNX3
BRINP1
DSCAM
DISC1
ZNF488
URS00002C6949_9606
URS0000170CF4_9606
TNFRSF12A
FGF20
TLR2
NCK1
KIF20B
ID2
ENC1
CTNNB1
DRD2
ELL3
NRG1
GATA2
SYT2
CUX2
SCARF1
MAP2K1
LRP8
DUOXA1
ARHGAP35
ASCL1
CAMK1
MAPK8IP3
HDAC2
PROX1
EZH2
NGF
GPER1
CDON
NRCAM
RIT2
FGFR1
NEUROG1
ADRA2B
KCTD11
BMP7
RIMS1
NEGR1
RAPGEF2
NLGN1
NGFR
PRKCI
