STPG1
NIPAL3
LAS1L
ENPP4
SEMA3F
CFTR
ANKIB1
CYP51A1
KRIT1
RAD52
NA
BAD
LAP3
CD99
HS3ST1
AOC1
WNT16
HECW1
MAD1L1
LASP1
SNX11
TMEM176A
M6PR
KLHL13
CYP26B1
ICA1
DBNDD1
ALS2
CASP10
CFLAR
TFPI
NDUFAF7
RBM5
MTMR7
SLC7A2
ARF5
SARM1
POLDIP2
PLXND1
AK2
