DSP
MYL2
MYBPC3
ADAMTS1
PLXND1
DNAAF1
RARA
GAA
RNF207
T
TBX3
SMAD7
DLC1
PARVA
SMARCD3
MYH7
CCM2L
MEF2C
HIF1A
COL11A1
TBX1
RBPJ
MYLK2
GSK3A
RTN4
HEYL
SAV1
JUN
IHH
SFRP2
VEGFA
PSEN1
WNT16
HEY2
LEMD2
FOXH1
BAZ1B
SNAI2
EFNA1
TH
SMAD3
HES1
ZMIZ1
BMP5
GJA1
COL5A1
SMAD6
RARB
LEFTY1
NKX2-5
AXIN2
SEC24B
HEY1
CCDC39
TNNT2
NEDD4
MDM2
CHD7
RBM15
NPY1R
DLL1
CCDC40
MEGF8
SMAD4
MYL3
SIRT6
SETDB2
NOTO
NOG
POU4F1
TBX2
NIPBL
WNT2
SHOX2
NODAL
SOX9
CYR61
OLFM1
PTCD2
PKP2
CITED2
TNNC1
SIX1
STIL
SHH
PPP1R13L
CLDN5
GNG5
WNT5A
BMPR2
TTN
ACVRL1
FZD2
SUFU
ATF2
FOLR1
FOXC1
XIRP2
TNNI3
SOX11
SOX18
FHL2
MESP1
TMEM100
NOTCH1
WNT3A
PKD2
ISL1
ACTC1
KDM6A
EYA1
WHSC1
HAND1
MICAL2
RYR2
ASXL1
AHI1
YAP1
GRHL2
BBS7
ALDH1A2
WNT11
SRF
CPE
DVL3
NPY5R
TAB1
GATA4
S1PR1
LBX1
SEMA3C
FOXC2
CCDC103
PITX2
BMPR1A
RYR1
FGFR2
INSR
TWIST1
MED1
ARL13B
PTK2
ZFPM2
SMO
TEAD2
ZFPM1
HTR2B
ANKRD1
TGFBR1
DKK1
ADAM15
ILK
HAND2
TGFBR3
CAV3
FAT4
TCAP
EGLN1
RXRA
BBS4
TPM1
RBP4
MKKS
DHRS3
ENG
DCHS1
NDRG4
VANGL2
HEG1
OVOL2
UBE4B
DLL4
FOXN4
COL2A1
JAG1
GJA5
TGFBR2
FLRT2
FKBP1A
SNAI1
NPY2R
IFT172
ACVR1
NOTCH2
COL4A3BP
MTOR
SOX4
BMP4
BMP2
EPHB4
ZIC3
BMP10
TNNI1
SOX17
URS00005B3525_9606
URS0000574A2C_9606
URS00002075FA_9606
URS000075DE64_9606
URS00001DC04F_9606
URS000039ED8D_9606
ID2
DVL2
CTNNB1
SOS1
IFT57
NRG1
MYH6
GATA3
TEK
FZD1
FOXF1
MSX2
PTCH1
PROX1
C2CD3
MSX1
TGFB1
MIB1
HAS2
TMED2
TBX5
BMP7
ERG
FGFRL1
TGFB2
NPHP3
FGF8
BBS5
TBX20
IFT52
GATA6
